task,full_pool_gap_threshold,n_models,models,eta2_subset,eta2_model,eta2_seed,eta2_resid,cohort_gt_model
regression,0.03,3,RandomForest; TabPFN; XGBoost,0.7355125835514739,0.019871543069804827,0.01881710780350236,0.225798765575219,True
regression,0.05,5,RandomForest; TabPFN; XGBoost; LightGBM; ElasticNet,0.5647020745168245,0.14681045210047922,0.015504251986318024,0.27298322139637815,True
regression,0.075,5,RandomForest; TabPFN; XGBoost; LightGBM; ElasticNet,0.5647020745168245,0.14681045210047922,0.015504251986318024,0.27298322139637815,True
regression,0.1,6,RandomForest; TabPFN; XGBoost; LightGBM; ElasticNet; SVR_rbf,0.3537032772055033,0.4986089077190183,0.006130614906754855,0.14155720016872342,False
classification,0.03,3,RandomForest; XGBoost; LightGBM,0.6869045854708058,0.04162805315936504,0.013853643837666445,0.25761371753216283,True
classification,0.05,4,RandomForest; XGBoost; LightGBM; LogReg,0.5199185121074769,0.052714945406996595,0.014376508990437683,0.41299003349508906,True
classification,0.075,7,RandomForest; XGBoost; LightGBM; LogReg; SVM_rbf; MLP; TabPFN,0.4223909658536465,0.21261135083449495,0.01163054854242192,0.3533671347694367,True
classification,0.1,7,RandomForest; XGBoost; LightGBM; LogReg; SVM_rbf; MLP; TabPFN,0.4223909658536465,0.21261135083449495,0.01163054854242192,0.3533671347694367,True
